,original_value,predicted_value
2023-06-24 18:00:00,2660314.749016835,2659077.3670739685
2023-06-24 19:00:00,2925892.023019674,2749956.471777902
2023-06-24 20:00:00,2900472.154685581,2713878.5579814063
2023-06-24 21:00:00,2776262.1803703657,2665909.5357242757
2023-06-24 22:00:00,2708538.529661289,2588909.401940356
2023-06-24 23:00:00,2883672.7857830306,2615050.6423309185
2023-06-25 00:00:00,2735488.1387963374,2538717.2440705006
2023-06-25 01:00:00,3015250.4544742485,2644079.074859821
2023-06-25 02:00:00,2741028.9874362494,2546246.6175069027
2023-06-25 03:00:00,2929162.2305951486,2646667.7074858225
2023-06-25 04:00:00,3175387.5018144012,2843246.915307096
2023-06-25 05:00:00,3331422.6985567985,2852208.799460259
2023-06-25 06:00:00,3012923.220319364,2759897.7487836825
2023-06-25 07:00:00,3141783.753377884,2847269.8206337914
2023-06-25 08:00:00,3038080.518008145,2754649.738009568
2023-06-25 09:00:00,3031227.1897280035,2696810.747293059
2023-06-25 10:00:00,2862290.094798786,2671707.5418917877
2023-06-25 11:00:00,2980429.201221143,2705247.2611622484
2023-06-25 12:00:00,2804180.8901455775,2624528.3458948936
2023-06-25 13:00:00,2905758.2902943282,2694022.3234042367
2023-06-25 14:00:00,2825022.5870853127,2653818.6157511
2023-06-25 15:00:00,2751130.151932095,2610162.4702106877
2023-06-25 16:00:00,2795243.7625244856,2591758.031707483
2023-06-25 17:00:00,2766559.4694660697,2498103.198402354
2023-06-25 18:00:00,2730486.6958585745,2412476.1618461194
2023-06-25 19:00:00,2874268.5619592345,2481136.1796684237
2023-06-25 20:00:00,2735902.85121078,2448591.75406117
2023-06-25 21:00:00,2811168.1147457487,2404029.4868154223
2023-06-25 22:00:00,2825480.913011794,2347724.566694018
2023-06-25 23:00:00,2948468.6998243327,2374807.432076676
